",Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi"
"97,Hyundai,i10Magna 1.2 Kappa2,2011,Bangalore,93500.0,petrol,manual,266000.0,19006"
"98,Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,9500.0,hybrid,automatic,2077000.0,35721"
"99,Hyundai,VenueSX (O) 1.0 Turbo iMT,2022,Bangalore,38000.0,petrol,manual,1070000.0,18402"
"100,Hyundai,VenueSX 1.2 MT Knight Edition,2022,Bangalore,33500.0,petrol,manual,921000.0000000001,15684"
"101,Maruti,Alto K10VXi,2019,Bangalore,95500.0,petrol,manual,331000.0,5636"
"102,Hyundai,VenueSX 1.2 Petrol,2022,Bangalore,28000.0,petrol,manual,989000.0,16842"
"103,Hyundai,EonMagna + (O) 1.0,2015,Bangalore,106000.0,petrol,manual,299000.0,5102"
"104,Hyundai,Creta1.6 SX AT VTVT,2018,Bangalore,53500.0,petrol,automatic,977999.9999999999,16654"
"105,Nissan,Micra ActiveXV,2014,Bangalore,46500.0,petrol,manual,293000.0,7897"
"106,Maruti,ErtigaVDI SHVS,2016,Bangalore,102500.0,diesel,manual,658000.0,11205"
"107,Hyundai,VenueSX 1.0 Turbo iMT,2022,Bangalore,24500.0,petrol,manual,991000.0,16876"
"108,Hyundai,VenueSX 1.0 (O) Turbo,2020,Bangalore,44000.0,petrol,manual,926000.0,15769"
"109,Hyundai,Grand i10 NiosAsta 1.2 Kappa VTVT CNG,2022,Bangalore,10000.0,cng,manual,800000.0,13623"
"110,Maruti,ErtigaVDi,2012,Bangalore,135500.0,diesel,manual,426999.99999999994,16240"
"111,Maruti,CiazZXI+,2016,Bangalore,92000.0,petrol,manual,548000.0,9332"
"112,Maruti,SwiftZXI AMT,2023,Bangalore,34500.0,petrol,automatic,779000.0,13265"
"113,Tata,NexonXZ Plus LUXS Diesel,2023,Bangalore,57500.0,diesel,manual,1187000.0,20413"
"114,Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,4500.0,hybrid,automatic,2121000.0,36478"
"115,Kia,SonetHTX 1.0 iMT,2021,Bangalore,31000.0,petrol,manual,931000.0,15854"
"116,Maruti,BalenoZeta 1.2,2016,Bangalore,35000.0,petrol,manual,588000.0,10013"
"117,Hyundai,VernaFluidic 1.6 VTVT SX,2014,Bangalore,81500.0,petrol,manual,419000.00000000006,8992"
"118,Kia,SonetGTX Plus 1.5 AT,2021,Bangalore,115500.0,diesel,automatic,1065000.0,18323"
"119,Hyundai,VenueSX (O) 1.0 Turbo iMT,2023,Bangalore,38000.0,petrol,manual,1141000.0,19623"
"120,Hyundai,Creta1.6 SX AT VTVT,2019,Bangalore,46000.0,petrol,automatic,1059000.0,18212"
"121,Toyota,Urban Cruiser HyryderV Neodrive AWD,2022,Bangalore,24500.0,petrol,manual,1551000.0,26668"
"122,Kia,SeltosHTX IVT G,2022,Bangalore,41000.0,petrol,automatic,1441000.0,24782"
"123,Renault,TriberRXT,2023,Bangalore,55500.0,petrol,manual,640000.0,10898"
"124,Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,59000.0,petrol,automatic,926000.0,15769"
"125,Ford,EcoSportTitanium Plus 1.5L Ti-VCT AT,2020,Bangalore,49500.0,petrol,automatic,875000.0,14900"
"126,Ford,EcoSportTrend 1.5L TDCi,2015,Bangalore,143500.0,diesel,manual,537000.0,9774"
"127,Ford,EcoSportTitanium 1.5L Ti-VCT,2021,Bangalore,74000.0,petrol,manual,892000.0,15190"
"128,Honda,CityVX,2017,Bangalore,88500.0,petrol,manual,530000.0,9025"
"129,Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Bangalore,58500.0,petrol,automatic,966000.0,16450"
"130,Tata,TiagoRevotorq XZ Plus,2019,Bangalore,45500.0,diesel,manual,521000.0,8872"
"131,Maruti,SwiftZXI Plus AMT,2020,Bangalore,32000.0,petrol,automatic,746000.0,12703"
"132,Kia,SeltosHTX Plus D,2022,Bangalore,19000.0,diesel,manual,1575000.0,27087"
"133,Tata,TiagoRevotorq XT,2018,Bangalore,64500.0,diesel,manual,494000.00000000006,8412"
"134,Maruti,Vitara BrezzaZDi Plus AGS,2019,Bangalore,76500.0,diesel,automatic,859000.0,14628"
"135,Hyundai,VenueSX 1.0 Turbo iMT,2022,Bangalore,39500.0,petrol,manual,963000.0000000001,16399"
"136,Hyundai,New Santro 1.1Sportz MT,2022,Bangalore,27000.0,petrol,manual,579000.0,9243"
"137,Skoda,Rapid NewAmbition AT,2021,Bangalore,113000.0,petrol,automatic,770000.0,13112"
"138,Maruti,CiazAlpha Hybrid 1.5 AT,2019,Bangalore,114500.0,petrol,automatic,740000.0,12601"
"139,Maruti,Wagon R 1.0VXI AMT (O),2018,Bangalore,92000.0,petrol,automatic,425000.0,7595"
"140,Volkswagen,PoloHighline1.2L (P),2015,Bangalore,115000.0,petrol,manual,532000.0,9078"
"141,Maruti,CiazAlpha AT Petrol,2021,Bangalore,79500.0,petrol,automatic,832000.0,14168"
"142,Kia,SonetHTX 1.0 iMT,2020,Bangalore,22000.0,petrol,manual,889000.0,15139"
"143,Renault,Kwid1.0 RXT,2017,Bangalore,51000.0,petrol,manual,312000.0,5313"
"144,Hyundai,New Santro 1.1Magna,2020,Bangalore,16500.0,petrol,manual,454000.0,7248"
"145,Kia,SeltosGTX (O) 1.4,2022,Bangalore,29500.0,petrol,manual,1461000.0,25126"
"146,Maruti,S-PressoVXi S-CNG,2023,Bangalore,49000.0,cng,manual,554000.0,9434"
"147,Maruti,CiazZXI+,2016,Bangalore,59000.0,petrol,manual,579000.0,9860"
"148,Hyundai,Grand i10 NiosSportz 1.2 Kappa VTVT,2020,Bangalore,99000.0,petrol,manual,519000.00000000006,8838"
"149,Kia,SonetGTX Plus 1.0 DCT,2022,Bangalore,23000.0,petrol,automatic,1131000.0,19450"
"150,Maruti,Vitara BrezzaZDi AGS,2019,Bangalore,64000.0,diesel,automatic,824000.0,14032"
"151,Nissan,MicraFashion Edition,2018,Bangalore,41000.0,petrol,automatic,443000.0,7072"
"152,Skoda,KushaqStyle 1.0L TSI MT,2023,Bangalore,25000.0,petrol,manual,1441000.0,24783"
"153,Volkswagen,PoloHighline1.2L (P),2015,Bangalore,72500.0,petrol,manual,537000.0,9163"
"154,Mahindra,XUV500W7,2019,Bangalore,81000.0,diesel,manual,1049000.0,18934"
"155,Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Bangalore,95500.0,petrol,automatic,835000.0,14219"
"156,Maruti,BalenoZeta AT Petrol,2017,Bangalore,105000.0,petrol,automatic,538000.0,9161"
"157,Kia,SeltosHTX G1.5 Petrol IVT,2023,Bangalore,3500.0,petrol,automatic,1664000.0,28626"
"158,Maruti,BalenoZeta,2021,Bangalore,96000.0,petrol,manual,657000.0,11188"
"159,Tata,AltrozXZ 1.2,2022,Bangalore,23000.0,petrol,manual,754000.0,12840"
"160,Maruti,Alto K10VXi,2016,Bangalore,92000.0,petrol,manual,309000.0,5262"
"161,Skoda,KushaqStyle 1.0L TSI MT,2022,Bangalore,22500.0,petrol,manual,1366000.0,23500"
"162,Toyota,Urban Cruiser HyryderV Neodrive AWD,2023,Bangalore,15000.0,petrol,manual,1560000.0,26822"
"163,Tata,HarrierXZ Plus Dual Tone,2022,Bangalore,33000.0,diesel,manual,1730999.9999999998,29769"
"164,Renault,DusterRXZ 1.3 Turbo Petrol MT,2021,Bangalore,96000.0,petrol,manual,708000.0,12056"
"165,Tata,NexonXZ Plus (O),2021,Bangalore,46500.0,petrol,manual,953999.9999999999,16246"
"166,Maruti,CiazS Petrol,2022,Bangalore,34500.0,petrol,manual,943000.0,16467"
"167,Hyundai,Creta1.4 S,2018,Bangalore,97500.0,diesel,manual,960000.0,16348"
"168,Maruti,Alto 800Vxi,2014,Bangalore,58500.0,petrol,manual,236000.0,5254"
"169,Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,53000.0,petrol,automatic,849000.0,14457"
"170,Skoda,SlaviaAmbition 1.0L TSI MT,2022,Bangalore,31500.0,petrol,manual,1126000.0,19362"
"171,Hyundai,Elite i20Asta 1.2,2015,Bangalore,130500.0,petrol,manual,521000.0,9483"
"172,Honda,JazzSelect,2012,Bangalore,72000.0,petrol,manual,329000.0,11730"
"173,Hyundai,VenueSX 1.0  Turbo,2022,Bangalore,28000.0,petrol,manual,930000.0000000001,15837"
"174,Kia,SeltosHTX+ G1.5 T-GDI Petrol IMT,2023,Bangalore,7000.0,petrol,manual,1784000.0,30681"
"175,Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Bangalore,70000.0,petrol,automatic,859000.0,14628"
"176,Volkswagen,PoloComfortline 1.2L (P),2013,Bangalore,67000.0,petrol,manual,413000.0,10436"
"177,Honda,WR-VVX MT Petrol,2022,Bangalore,26000.0,petrol,manual,836000.0,14236"
"178,Hyundai,Elite i20Asta 1.2 (O),2015,Bangalore,25500.0,petrol,manual,593000.0,10794"
"179,Maruti,Alto K10VXi,2017,Bangalore,36500.0,petrol,manual,327000.0,5572"
"180,Honda,CityZX Diesel,2017,Bangalore,58500.0,diesel,manual,819000.0,13947"
"181,Maruti,CiazZXI+,2015,Bangalore,88000.0,petrol,manual,527000.0,9592"
"182,Hyundai,Creta1.6 SX AT VTVT,2019,Bangalore,60500.0,petrol,automatic,1068000.0,18365"
"183,Hyundai,New Santro 1.1Sportz AMT,2019,Bangalore,114500.0,petrol,automatic,449000.0,7168"
"184,Hyundai,VernaSX (O) 1.6 VTVT AT,2018,Bangalore,101500.0,petrol,automatic,799000.0,13606"
"185,Honda,MobilioV Diesel,2015,Bangalore,103000.0,diesel,manual,540000.0,10865"
"186,Skoda,Rapid1.6 MPI Elegance Plus,2014,Bangalore,102500.0,petrol,manual,421000.0,8470"
"187,Renault,KwidRXL,2022,Bangalore,28500.0,petrol,manual,430999.99999999994,7339"
"188,Maruti,IgnisZeta 1.2 MT,2024,Bangalore,8000.0,petrol,manual,717000.0,12210"
"189,Maruti,ErtigaZDI + SHVS,2016,Bangalore,68500.0,diesel,manual,860000.0,14645"
"190,Hyundai,TucsonGLS 2WD AT Petrol,2021,Bangalore,29500.0,petrol,automatic,2063000.0,35487"
"191,Tata,TiagoRevotron XZ,2018,Bangalore,111500.0,petrol,manual,411000.00000000006,6999"
"192,Maruti,Grand VitaraAlpha Smart Hybrid,2023,Bangalore,29000.0,petrol,manual,1441000.0,24783"
"193,Tata,NexonXMA AMT Diesel,2018,Bangalore,114000.0,diesel,automatic,626000.0,10660"
